ptIndex,usDs,navDel,total
3.08421492577,2.19055104256,1.85713791847,7.13190793991
3.16663908958,2.26941204071,1.85784292221,7.29389595985
2.99816894531,2.32489418983,1.9981238842,7.32119083405
3.32487392426,2.85591483116,2.38686394691,8.56765699387
3.3829870224,2.37780404091,2.09206795692,7.8528649807
3.5381860733,2.30449604988,1.88230490685,7.72498989105
3.26195502281,2.33513212204,1.91627001762,7.51336097717
3.12725996971,2.19587898254,2.22047805786,7.54361987114
3.9257440567,2.34465503693,2.15002799034,8.42043185234
3.20937609673,2.31320691109,1.86704397202,7.3896291256
3.18796205521,2.41574120522,1.72801685333,7.33172297478
3.20495510101,2.26614308357,1.94962000847,7.42072200775
3.45665621758,2.75446987152,2.05801081657,8.26914000511
3.14650797844,2.55732178688,1.75059485435,7.45442795753
3.10565900803,2.2228178978,1.94671392441,7.27519392967
3.08987998962,2.28544592857,1.68720817566,7.06253814697
3.47505307198,2.29832315445,1.9444360733,7.71781611443
3.64164495468,2.32241201401,1.84491419792,7.80897498131
3.38716316223,2.32534384727,1.88644504547,7.59895515442
3.09979200363,2.47292900085,2.07000088692,7.64272594452
3.23870301247,2.29267096519,1.71510195732,7.2464799881
2.9997189045,3.12255001068,2.67518591881,8.7974588871
3.92840480804,2.39670395851,1.82139897346,8.14651083946
3.33552694321,2.30098581314,1.74591183662,7.38242888451
3.13980603218,2.22306990623,1.72673201561,7.08961105347
3.25372314453,2.35960793495,1.94995999336,7.56329607964
3.69227790833,2.30555105209,1.80052089691,7.79835391045
3.13048481941,2.71257591248,1.86400508881,7.70706892014
3.42607903481,2.26801991463,1.79881620407,7.49291920662
3.00310707092,2.17632913589,1.93455696106,7.11399698257
3.12969994545,2.30158615112,2.43338608742,7.86467599869
3.33753919601,2.58437609673,1.81474900246,7.73666810989
3.19764590263,2.1775841713,1.80032896996,7.17556285858
3.40497994423,2.46306705475,1.79826807976,7.66631793976
3.66082119942,2.23363208771,2.5967040062,8.49116110802
3.80890488625,2.28974199295,1.94317698479,8.04182887077
3.32385802269,2.30479097366,1.82513809204,7.45378994942
2.99656486511,2.62792682648,1.81457185745,7.43906784058
3.14918994904,2.50091099739,1.87410402298,7.52420806885
3.65828704834,3.22753810883,2.05126810074,8.9370970726
3.19157314301,2.30470204353,1.80192017555,7.29819917679
3.27440905571,2.2698340416,1.80381703377,7.34806418419
3.31039094925,2.32939505577,1.82249593735,7.46228504181
3.18532705307,2.16072416306,2.05043697357,7.39649105072
4.08609890938,2.23164415359,2.02477407455,8.34251999855
3.16696596146,2.27967596054,1.93283820152,7.37948417664
3.43688392639,2.38391590118,2.21433711052,8.03514313698
3.41865515709,2.55136084557,1.91177797318,7.8817961216
3.22591209412,3.31341695786,1.86936998367,8.40870308876
3.56140708923,2.38563704491,1.9711561203,7.91820216179
3.08307695389,2.26864290237,1.80827903748,7.16000199318
2.93632006645,2.43864607811,1.86678004265,7.24174904823
3.01350307465,2.20650219917,2.01762294769,7.23763203621
4.30135297775,2.33968710899,1.87737989426,8.51842498779
3.08554697037,2.36165499687,1.84012007713,7.28732395172
3.19074892998,2.52394104004,1.95139408112,7.66608595848
3.07447719574,2.33877706528,1.8053150177,7.21857118607
3.06886100769,2.84475111961,2.02516412735,7.93877911568
3.13889217377,2.3789870739,1.7461669445,7.26405000687
3.10593891144,2.4719748497,1.8268699646,7.40478897095
3.40777802467,2.77382588387,2.10403394699,8.2856400013
4.41471815109,2.42687606812,2.02376508713,8.86536216736
3.56831908226,2.32587099075,2.03100991249,7.92520403862
3.16090798378,2.34133410454,1.7407579422,7.24300289154
3.05728793144,2.38345813751,1.79004192352,7.2307908535
3.14805698395,2.36880898476,1.9521689415,7.46903896332
3.18486523628,2.87862181664,1.94320392609,8.00669407845
3.04108691216,2.16724777222,1.78804206848,6.99638104439
3.16120791435,2.12312483788,1.88442993164,7.16876602173
3.35600399971,2.27483391762,1.95432281494,7.5851650238
3.12810993195,2.22626686096,2.25857996941,7.61296105385
3.73026299477,2.32917094231,2.14299917221,8.2024371624
3.26078414917,2.41586995125,1.79139614105,7.46805214882
3.34926700592,2.35224413872,1.80422210693,7.50573897362
3.16413497925,2.25418710709,1.7865281105,7.20485401154
3.14774513245,2.42721486092,1.97581887245,7.55078101158
3.84926199913,2.31299591064,1.88662695885,8.04888796806
3.0490629673,2.25489997864,1.85163712502,7.1556019783
3.07317900658,2.72060704231,2.17711901665,7.97090697289
5.65909385681,2.52074098587,2.7803800106,10.9602179527
3.60961318016,2.50971198082,2.09009599686,8.20942401886
3.88990306854,2.54555392265,2.35870599747,8.7941660881
3.39678812027,2.62720394135,1.90034294128,7.92433905602
3.65014314651,2.61173796654,2.33901619911,8.60090017319
3.87570595741,3.47481489182,3.15646004677,10.5069839954
5.28508687019,4.09218406677,2.8955180645,12.2727918625
5.24140691757,3.29431200027,3.26429390907,11.80001688
6.41798186302,3.54620289803,2.28589296341,12.250082016
4.85455107689,2.96918916702,2.83062291145,10.6543669701
4.62331700325,3.68955898285,2.92120409012,11.2340841293
5.99658608437,3.31457805634,3.11379718781,12.4249651432
5.1145260334,2.96702480316,3.01966404915,11.1012191772
5.4471590519,2.90282797813,2.43753600121,10.7875270844
4.94374799728,2.87983894348,2.47544717789,10.2990381718
3.73834204674,3.29337191582,3.07717585564,10.1088929176
3.87416195869,3.46207404137,3.13144016266,10.4676790237
4.49187707901,5.12530303001,3.21139907837,12.8285820484
5.74958395958,4.05046200752,3.16829299927,12.9683418274
5.17561793327,3.20355916023,2.83105802536,11.2102389336
3.54344797134,3.29478907585,2.22213101387,9.06037092209
