ptIndex,usDs,navDel,total
3.02348089218,1.93178606033,1.78662490845,6.74189591408
3.04093194008,1.93610095978,1.48012804985,6.45716404915
3.06531691551,1.87769699097,1.53656792641,6.479585886
3.30656981468,2.02475595474,1.50738310814,6.83871197701
3.33447408676,2.43276309967,1.78506994247,7.5523109436
3.05283093452,1.96272587776,1.89176297188,6.9073240757
3.06130814552,2.09627199173,1.53745794296,6.69504213333
2.86277914047,2.01406097412,1.61119484901,6.48803901672
3.09546399117,1.96927404404,1.44305801392,6.50779986382
2.90971708298,2.38619208336,2.07811903954,7.37403202057
3.17844581604,2.17975687981,1.82120203972,7.1794090271
2.91850614548,2.01493787766,1.54412508011,6.47757220268
2.83198308945,2.0284781456,1.53059506416,6.39106011391
3.07290101051,1.87518882751,1.64237093925,6.59046506882
2.95827484131,2.78561615944,1.7696390152,7.51353287697
3.0068128109,1.95823693275,1.57736301422,6.54241681099
2.9597568512,2.02759695053,1.42693781853,6.41429686546
2.92558407784,2.06948900223,1.55005192757,6.54513001442
3.20328307152,1.97737884521,1.58038401604,6.7610502243
3.00713992119,2.74643707275,2.03538489342,7.78896594048
2.80796194077,1.84795093536,1.63858413696,6.29450106621
3.1487159729,2.10657191277,1.58686518669,6.84215712547
2.97794914246,2.24393796921,1.5311319828,6.75302314758
3.03833699226,1.91123223305,1.46320390701,6.41277694702
3.26058697701,3.0931801796,2.10708189011,8.4608528614
3.43675112724,2.07284998894,1.61697793007,7.12658500671
3.02770400047,2.06036615372,1.58072209358,6.66879606247
2.94548392296,1.79268097878,1.52872300148,6.26689100266
2.87164998055,2.04032492638,1.59055089951,6.50252890587
2.79438591003,1.96380114555,1.48690414429,6.2450940609
3.29021716118,2.08753705025,1.54808712006,6.92584514618
3.13088607788,2.02499914169,1.6264090538,6.78229808807
3.28180003166,1.91129684448,1.526512146,6.71961212158
3.00115609169,1.7955520153,1.60854697227,6.40525913239
3.16325807571,1.84035992622,1.89793205261,6.90155410767
4.12024497986,2.22718906403,1.58273887634,7.93017888069
2.90778398514,1.99687719345,1.57873392105,6.48339796066
2.93995714188,1.96135115623,1.47906088829,6.3803730011
2.91888403893,1.8291990757,1.54412102699,6.29220795631
3.072742939,1.79578304291,1.5899310112,6.45845985413
3.52605390549,2.09776496887,1.5464951992,7.17031908035
3.06210613251,2.11284399033,1.51203203201,6.68698596954
3.03490996361,1.96622395515,1.55609989166,6.55723786354
3.18624591827,2.12928009033,1.54548597336,6.86101388931
2.90225887299,2.06639504433,1.85559415817,6.82425308228
4.63581705093,2.01673293114,1.66023802757,8.31279206276
2.98761796951,1.92844200134,1.63742995262,6.55349397659
2.96312499046,1.83581709862,1.5512509346,6.35019898415
2.84277296066,1.95269799232,1.42994904518,6.22542405128
2.98260998726,1.87825083733,1.55420589447,6.41507101059
3.4694609642,2.06575012207,1.50297808647,7.03819298744
3.11828804016,1.98746490479,1.60203504562,6.70779204369
3.03340983391,1.98022198677,1.57066297531,6.58429884911
3.05760097504,2.08688807487,1.45988702774,6.60437893867
3.21575808525,1.964854002,1.54490804672,6.72552418709
3.12144613266,2.71443104744,1.5051920414,7.34107303619
3.2564330101,2.08891201019,2.09152007103,7.43686890602
2.96579790115,1.95691299438,1.52899289131,6.45170783997
2.84042406082,1.85326099396,1.51363611221,6.20732498169
3.01345419884,1.95513701439,1.47996401787,6.44855999947
3.4702129364,2.31826901436,1.83944392204,7.62792992592
3.12662601471,2.05972003937,1.70382094383,6.89017105103
2.99037909508,1.94510602951,1.54497504234,6.48046398163
2.88393807411,1.94170188904,1.5385529995,6.36419796944
3.06805515289,1.98274803162,1.47410106659,6.52490711212
2.84471106529,2.21376085281,1.90893888474,6.96741604805
2.96660280228,1.98205304146,1.41227006912,6.36093091965
2.99224591255,1.93011403084,1.74619579315,6.66855978966
3.46546196938,2.27949786186,2.15405201912,7.8990149498
3.7280330658,2.33295893669,1.57397985458,7.63497591019
3.00998091698,2.42464804649,1.74132013321,7.1759519577
3.08677411079,1.95988607407,1.52711510658,6.57377815247
2.86817002296,1.90654397011,1.46640300751,6.24112010002
2.86434602737,1.89640879631,1.52888083458,6.2896399498
2.93199205399,2.12110710144,1.43567419052,6.48877716064
2.90516901016,2.20565509796,1.83777403831,6.94860196114
2.88420581818,1.96592497826,1.55623197556,6.4063668251
2.94586396217,1.75895619392,1.43189191818,6.1367149353
3.30334401131,2.11985206604,1.71519517899,7.13839507103
2.87010598183,1.88252091408,1.56203103065,6.31466197968
3.07955598831,2.6350710392,1.94190001488,7.65652990341
3.23080992699,2.15047001839,1.46133208275,6.84261488914
3.38139295578,2.29711008072,1.4682571888,7.14676403999
3.07253909111,1.90483903885,1.58830404282,6.56568598747
3.00541496277,1.97667217255,1.694617033,6.67670798302
3.3146378994,1.95759415627,1.90699911118,7.17923498154
3.32351613045,1.97140097618,1.553606987,6.84852600098
2.98692083359,1.83972597122,1.50714111328,6.33379197121
2.93940711021,1.82886195183,1.5036008358,6.27187299728
2.82963395119,2.15903902054,2.28424596786,7.27292394638
4.81164312363,2.4449968338,2.1546690464,9.41131305695
3.51218104362,2.38761901855,1.60073804855,7.50054216385
3.13073706627,2.13035607338,1.64536380768,6.90646100044
3.55889391899,2.06673192978,1.63239407539,7.25802397728
3.14012980461,2.72946000099,1.51189899445,7.38149285316
4.0667090416,2.49583792686,1.76368498802,8.3262360096
3.28097319603,3.04891490936,2.71292591095,9.04281806946
5.28293800354,3.66509103775,2.23339700699,11.181429863
5.7687869072,4.01390910149,2.82744717598,12.6101469994
5.75587582588,3.05220794678,2.45927810669,11.2673668861
