ptIndex,usDs,navDel,total
3.75969195366,2.44159317017,1.93873500824,8.14002394676
3.74076700211,2.53013706207,2.16897511482,8.4398829937
3.40460920334,2.43408298492,2.21280503273,8.05150103569
3.41982007027,2.31208992004,2.18801999092,7.91993284225
3.614538908,2.21730804443,1.77054309845,7.602394104
3.43266105652,2.59832310677,2.19592094421,8.2269089222
3.40805888176,2.65344500542,1.82920098305,7.89070796967
3.06365394592,2.31229305267,1.90580701828,7.28175592422
3.06692886353,2.29791808128,1.82288599014,7.18773698807
3.1280169487,2.54927301407,2.26258206367,7.93987607956
3.2993311882,2.38810300827,1.79179406166,7.47923111916
3.36188006401,2.28484320641,1.86081504822,7.50754022598
3.0442481041,2.30000901222,1.86565518379,7.20991611481
3.27876400948,2.4756269455,1.8123190403,7.56671404839
3.77592301369,2.63868999481,1.99159097672,8.40620779991
3.12441301346,2.39860916138,1.92708992958,7.45011591911
3.38992404938,2.33715605736,1.80998516083,7.53707003593
3.47375512123,2.26221704483,1.82858896255,7.56456398964
3.0382540226,2.23388004303,2.20750117302,7.47963809967
4.15967106819,2.63697195053,1.91370797157,8.71035504341
3.04925394058,2.40774106979,1.7886121273,7.2456099987
3.21429204941,2.29619002342,1.82252812386,7.33301305771
3.26596903801,2.39264416695,1.80643200874,7.46504807472
3.41642379761,2.6825170517,2.06965398788,8.16859793663
3.21289014816,2.86643195152,1.95506501198,8.03439116478
3.17344594002,2.32130599022,1.84289288521,7.337651968
3.0568549633,2.18179893494,1.89718914032,7.13584709167
3.26158595085,2.38806605339,1.99855613708,7.64821314812
4.99139499664,2.4218878746,1.8825609684,9.29584813118
3.21452903748,2.27639603615,1.73261809349,7.22354602814
3.08004784584,2.40261793137,2.00561213493,7.48828196526
3.20279812813,2.56772112846,1.83504199982,7.60556507111
3.10671281815,2.35151982307,1.85106682777,7.30930185318
3.37308192253,2.20253610611,1.88659906387,7.46221899986
3.24581623077,2.20294189453,1.92142796516,7.37018918991
3.23848009109,2.22680616379,1.91698408127,7.38227510452
3.0298178196,2.42269301414,1.91718101501,7.3696949482
4.69244408607,2.48487305641,1.78185200691,8.95917320251
3.1513531208,2.38681411743,1.81700992584,7.35518097878
3.10547685623,2.57963585854,1.97200989723,7.65712690353
3.52150392532,2.35513210297,1.90850496292,7.78514480591
3.00132799149,3.09644603729,1.74940514565,7.84718108177
3.3171851635,2.29065203667,1.79293203354,7.40077114105
3.26152992249,2.39422392845,1.94728207588,7.60303902626
3.10192513466,2.36010694504,2.03360080719,7.49563598633
3.08341288567,2.3889799118,2.05798411369,7.53038096428
3.59194684029,2.28836393356,1.91753816605,7.79785394669
3.24861383438,2.72048091888,2.01952576637,7.98862481117
3.23671007156,4.90480899811,1.74700212479,9.88852310181
3.23072195053,2.4912879467,1.99121809006,7.71323204041
3.65498900414,2.48981499672,1.9421980381,8.08700609207
3.01446080208,2.33659100533,1.7962269783,7.14728188515
3.34316682816,2.1641638279,1.82793593407,7.33527088165
3.17330789566,2.41131401062,1.86377191544,7.44839692116
3.07401895523,2.36738109589,2.29418301582,7.73558688164
3.17195081711,2.44485783577,1.99634695053,7.61315894127
3.1831099987,2.23965001106,2.14667606354,7.56944012642
3.52762699127,2.4949529171,2.32716298103,8.34974598885
4.19252896309,2.60504412651,1.91553711891,8.71311306953
3.5399889946,2.4538128376,1.89114809036,7.88495612144
3.13108921051,2.26239299774,1.76534819603,7.15883421898
2.97885394096,2.19107484818,1.83640384674,7.00633597374
3.13364696503,2.34834003448,1.93014383316,7.41213488579
3.07829403877,2.4857749939,2.43097019196,7.99504303932
2.98884606361,2.39298701286,1.78783917427,7.16967511177
3.05858111382,2.22466492653,1.93634295464,7.21959209442
3.25867605209,2.65208292007,1.88276314735,7.79352617264
3.58637499809,2.34584903717,1.8662610054,7.79849004745
3.71238613129,2.36230707169,2.06327414513,8.13797020912
3.20906305313,2.22234511375,2.00379610062,7.4352080822
3.71849918365,2.41309690475,1.87373185158,8.00533103943
3.42277383804,2.25753593445,1.82038497925,7.50069904327
3.33057403564,2.6183989048,2.29372906685,8.24270606041
3.60409998894,2.38276815414,1.88511896133,7.87199091911
3.09471893311,2.2463350296,1.84356880188,7.1846268177
3.14126610756,2.63796687126,2.02852296829,7.80776000023
