ptIndex1,ptIndex5,ptIndex10,ptIndex25,ptIndex50,usDs1,usDs5,usDs10,usDs25,usDs50,totalTime1,totalTime5,totalTime10,totalTime25,totalTime50
11.0913000107,3.02213215828,4.26022815704,2.85044503212,4.84396100044,1.51348686218,0.557176828384,8.33955287933,3.47214388847,2.52971100807,12.6047868729,3.57930898666,12.5997810364,6.32258892059,7.37367200851
2.84438514709,2.91417312622,3.12233901024,2.99037599564,2.97372984886,0.463793039322,0.400209903717,1.84455013275,1.81814908981,2.70848298073,3.30817818642,3.31438302994,4.96688914299,4.80852508545,5.68221282959
2.77181601524,2.91146016121,3.05793595314,3.02476191521,3.11634397507,0.52956700325,0.609722852707,1.56055498123,2.75352907181,2.81923103333,3.30138301849,3.52118301392,4.61849093437,5.77829098701,5.93557500839
2.90708684921,3.17162895203,3.00864005089,2.92499494553,2.91387581825,0.861056089401,0.502113103867,1.49134993553,2.02986311913,2.48119401932,3.76814293861,3.67374205589,4.49998998642,4.95485806465,5.39506983757
2.88815021515,3.1722741127,3.45710611343,2.98218512535,2.96391296387,0.342923879623,0.419465780258,1.86473202705,2.17733192444,2.57856798172,3.23107409477,3.59173989296,5.32183814049,5.15951704979,5.54248094559
2.9757809639,2.98821687698,2.88101387024,2.99762892723,2.98595499992,0.324368953705,0.646876096725,1.85566902161,2.12144899368,2.56745100021,3.3001499176,3.63509297371,4.73668289185,5.11907792091,5.55340600014
2.87999296188,3.05863595009,3.01538395882,3.01707100868,2.90173697472,0.298067092896,0.41681599617,1.98640608788,1.77818918228,6.16429519653,3.17806005478,3.47545194626,5.00179004669,4.79526019096,9.06603217125
2.96970295906,2.78638291359,2.8045258522,5.33349585533,5.38304805756,0.246742963791,0.358232021332,1.62759113312,5.41391015053,3.99937105179,3.21644592285,3.14461493492,4.43211698532,10.7474060059,9.38241910934
4.04067516327,5.80159497261,3.61698389053,3.59265899658,3.05043101311,0.471722841263,0.31384396553,1.45139718056,1.98356389999,2.61056900024,4.51239800453,6.11543893814,5.06838107109,5.57622289658,5.66100001335
3.74899411201,5.21793603897,3.37273907661,3.05763697624,3.16538596153,0.420085906982,0.396335124969,1.88218092918,2.55825304985,3.61332607269,4.169080019,5.61427116394,5.2549200058,5.61589002609,6.77871203423
3.8866379261,3.99693417549,5.38935494423,3.8352098465,3.13498282433,0.432419061661,0.432723045349,1.71778106689,2.23721814156,3.41454601288,4.31905698776,4.42965722084,7.10713601112,6.07242798805,6.5495288372
2.91143989563,3.03024792671,5.88388800621,4.01307296753,3.62300896645,0.516237020493,0.32608294487,1.50766992569,4.01514410973,3.57332515717,3.42767691612,3.35633087158,7.3915579319,8.02821707726,7.19633412361
3.65123295784,2.87600207329,4.05777311325,3.30498218536,3.76154494286,0.39315199852,0.459473848343,2.30687999725,3.34651589394,3.65151596069,4.04438495636,3.33547592163,6.3646531105,6.6514980793,7.41306090355
2.91908884048,5.36343502998,4.17069101334,3.87027692795,3.04024791718,0.442187070847,0.320205926895,2.21939587593,3.4129679203,2.76226902008,3.36127591133,5.68364095688,6.39008688927,7.28324484825,5.80251693726
3.64217495918,2.95961380005,2.90260314941,3.73542714119,3.06397008896,0.384418964386,0.554786205292,1.73758077621,4.8088619709,4.05060005188,4.02659392357,3.51440000534,4.64018392563,8.54428911209,7.11457014084
3.40698313713,3.73400902748,3.3512339592,4.94884109497,4.06373620033,0.453191995621,0.480262994766,1.68784189224,2.08916211128,3.09188485146,3.86017513275,4.21427202225,5.03907585144,7.03800320625,7.15562105179
3.76828598976,3.83711719513,4.86958885193,2.99938797951,3.61795902252,0.598227977753,0.398135900497,1.91358804703,2.80651402473,2.75545287132,4.36651396751,4.23525309563,6.78317689896,5.80590200424,6.37341189384
2.98127293587,2.99610710144,3.19757986069,4.75601387024,2.97052001953,0.326782941818,0.304585933685,2.57390403748,2.41538214684,3.67010688782,3.30805587769,3.30069303513,5.77148389816,7.17139601707,6.64062690735
3.85394382477,2.87518215179,2.85992693901,3.35164499283,3.48367500305,0.242985963821,0.322450876236,1.35913205147,1.76819300652,3.96521615982,4.09692978859,3.19763302803,4.21905899048,5.11983799934,7.44889116287
3.9081799984,3.4814388752,3.25072693825,3.07098889351,3.13697504997,0.551841974258,0.739886045456,1.4832470417,4.52832913399,2.39745616913,4.46002197266,4.22132492065,4.73397397995,7.5993180275,5.5344312191
2.99051785469,3.82454609871,3.30156707764,3.83837199211,3.03625416756,0.353451013565,0.339511871338,1.53841304779,3.61097216606,2.69698596001,3.34396886826,4.16405797005,4.83998012543,7.44934415817,5.73324012756
2.97738695145,2.87915802002,3.8243727684,3.84050917625,2.96937990189,0.260958194733,0.497693061829,1.37335920334,1.99372696877,2.90189003944,3.23834514618,3.37685108185,5.19773197174,5.83423614502,5.87126994133
2.96738791466,2.97957801819,3.44997501373,3.84608006477,3.56080794334,2.31876015663,0.316302061081,1.48935604095,2.93528199196,3.690117836,5.28614807129,3.29588007927,4.93933105469,6.78136205673,7.25092577934
3.06261301041,4.21609783173,3.3767209053,3.86188483238,4.05009818077,0.420259952545,0.492619037628,2.81889605522,3.01332616806,4.19695496559,3.48287296295,4.70871686935,6.19561696053,6.87521100044,8.24705314636
3.66637706757,2.90863013268,4.16055488586,4.28930783272,2.98009586334,0.502828836441,0.262867927551,2.84755706787,2.12891411781,3.72789812088,4.16920590401,3.17149806023,7.00811195374,6.41822195053,6.70799398422
