ptIndexHalfkm,ptIndex1km,ptIndex2km,ptIndex3km,ptIndex4km,usDsHalfkm,usDs1km,usDs2km,usDs3km,usDs4km,navDelHalfkm,navDel1km,navDel2km,navDel3km,navDel4km,totalTimeHalfkm,totalTime1km,totalTime2km,totalTime3km,totalTime4km
8.58381414413,2.65282917023,2.69085693359,4.48720097542,4.09622907639,2.82337212563,1.54993700981,1.68789100647,1.4807510376,1.32829117775,3.14131116867,0.909703969955,1.05995798111,0.935958862305,0.839287042618,14.5485022068,5.11247515678,5.43871092796,6.90391683578,6.26381111145
2.60478305817,2.56491088867,2.85920500755,3.09261488914,3.74723410606,1.09152913094,1.32679581642,1.31279993057,1.38807892799,1.42016506195,0.802530050278,0.799407958984,0.75476193428,0.750785827637,0.857079982758,4.49884700775,4.69111895561,4.9267718792,5.23148488998,6.02448296547
2.75399804115,2.70028090477,2.83275198936,3.45579004288,3.42434692383,1.44577884674,1.44408988953,1.65661287308,1.25601792336,1.46350717545,0.793968915939,0.827523231506,0.801139831543,0.811897993088,1.30917000771,4.99375104904,4.97189807892,5.29050993919,5.52371001244,6.19702887535
4.19470715523,2.84344100952,2.75861287117,3.47323203087,3.53249883652,1.46607995033,1.47116494179,1.53035187721,1.53003001213,1.14732098579,0.772402048111,0.891447067261,0.714495897293,0.887096881866,1.02971196175,6.43319606781,5.20605802536,5.00346684456,5.89036297798,5.70953583717
2.51462197304,2.6955139637,2.87518286705,3.47638392448,3.70097494125,1.89438199997,1.34879183769,1.18295097351,1.36199307442,1.43435907364,0.911149978638,0.661020040512,0.763540029526,0.757036924362,0.709290027618,5.32015895844,4.70533204079,4.82167887688,5.59544706345,5.84463000298
2.80241703987,2.86594390869,2.79074001312,3.19072318077,3.34059906006,1.5622279644,1.14628386497,1.49378991127,1.2883939743,1.11963820457,0.918730974197,0.947286844254,0.871491193771,0.724977016449,0.751424074173,5.28338193893,4.95951986313,5.15602517128,5.20409917831,5.21166610718
2.67031288147,2.68142700195,3.22104287148,3.57257604599,3.55030202866,1.40188503265,1.51309418678,1.38722705841,1.51709008217,1.32821297646,0.66979598999,0.712527036667,0.777505874634,0.724408149719,1.07934808731,4.7419989109,4.90705299377,5.38577985764,5.81407809258,5.95786905289
2.45542907715,2.79219079018,2.74854302406,3.32431292534,3.21524810791,1.16670513153,1.0937359333,1.28101706505,1.7023639679,1.31730318069,0.742962121964,0.758762836456,0.912786006927,0.789298057556,0.674433946609,4.36510109901,4.64469480515,4.94235110283,5.81597995758,5.20698904991
2.49025416374,2.59689188004,2.78787994385,3.12348890305,3.50675296783,1.32906198502,1.30345678329,1.31465506554,1.28741288185,1.39808917046,0.69172501564,1.01004505157,0.710389852524,0.794718980789,0.75875711441,4.51104712486,4.91039896011,4.8129298687,5.20562601089,5.66360497475
2.67899990082,2.88570094109,2.96930789948,4.67607903481,3.66599798203,1.15173387527,1.42427897453,1.39601802826,1.31585001945,1.77434802055,0.694733858109,0.918823003769,0.672971963882,0.761080026627,1.43930196762,4.52547287941,5.2288069725,5.03830289841,6.75301408768,6.87965297699
2.94849705696,2.64650702477,2.99176692963,3.25584602356,3.3529419899,1.76131820679,1.68529391289,1.33538794518,1.72257494926,2.12486314774,0.675045967102,0.951104879379,0.763384103775,0.809223890305,0.87330698967,5.38486599922,5.28290987015,5.09054303169,5.78764986992,6.351115942
2.58133482933,2.96494913101,2.8661968708,3.50968790054,3.25151920319,1.22853684425,1.39028692245,1.98161101341,2.22514486313,2.05581092834,0.788171052933,0.671139001846,0.855345964432,0.842381000519,0.816275835037,4.59804797173,5.0263800621,5.70315885544,6.5772190094,6.12361097336
2.78625702858,3.06331205368,2.80354309082,3.35104513168,3.63346099854,1.26902604103,1.19198703766,1.09602212906,1.38481903076,1.90212011337,1.0353140831,0.946500062943,0.9701359272,0.806011915207,1.00076007843,5.09060120583,5.20180416107,4.86970496178,5.54188203812,6.53634595871
2.5227560997,2.64337396622,2.87406301498,3.38765001297,3.2791030407,1.23605513573,1.25178408623,1.17339587212,1.24320411682,1.37106204033,0.745926141739,0.81959605217,0.868402004242,0.908921957016,0.695481061935,4.50474214554,4.7147591114,4.91586613655,5.53978085518,5.34564995766
2.48943591118,2.4770629406,2.82561683655,3.16581892967,3.78301787376,1.2722799778,1.24831199646,1.09947800636,1.56618595123,1.74983096123,0.775080919266,0.771260976791,1.0950729847,1.17126703262,0.778244018555,4.53680300713,4.49664092064,5.0201728344,5.90327692032,6.31109690666
